stop_id,stop_name,stop_lat,stop_lon
1100146,"Steinen (Kr LÖ), Lehnacker",47.710694771742,7.761129645524
1100147,"Aitern, Belchenbahn Talstation",47.821469825835,7.850853376114
1100148,"Hofen (Kr LÖ), Im Steinenberg",47.694396160312,7.746019982443
1100149,"Hofen (Kr LÖ), Pflug",47.692346382261,7.748095090749
1100150,"Schlächtenhaus, Schule",47.689855098111,7.742336889777
1100151,Schlächtenhaus,47.690496070938,7.738249555234
1100152,"Hofen (Kr LÖ), Kirche",47.689310869716,7.749226968007
1100153,"Weitenau (Baden), Vogelpark",47.685845815758,7.757383670788
1100154,"Weitenau (Baden), Schule",47.677765842985,7.765908682836
1100155,"Weitenau (Baden), Aussendorf",47.671221115515,7.757814862125
1100156,"Steinen (Kr LÖ), Kandernerstr.",47.647696873023,7.742750114808
1100157,"Steinen (Kr LÖ), Schule",47.643127536228,7.74326215452
1100158,"Steinen (Kr LÖ), Bahnhof",47.641832313756,7.741213995672
1100159,"Steinen (Kr LÖ), Rathaus",47.64254650582,7.740998400004
1100160,"Utzenfeld, Königshütte",47.820311731389,7.897916113856
1100161,"Utzenfeld, Finstergrund",47.831083424896,7.896927967043
1100162,"Wieden (Schw), Wiedenmatt",47.839929498793,7.893181992308
1100163,"Wieden (Schw), Hirschen",47.841605680928,7.881144567499
1100164,"Wieden (Schw), Hüttbach Rütte",47.844843332643,7.885312750418
1100165,"Wieden (Schw), Ungendwieden",47.843987213481,7.891591974254
1100166,"Wieden (Schw), Wiedenrütte",47.846338492786,7.887486673405
1100167,"Wieden (Schw), Wiedener Eck",47.844728782307,7.866888303938
1100168,"Wieden (Schw), Skilift/Holzpl.",47.836534762599,7.868936462786
1100169,"Wieden (Schw), Hohtann",47.829696378119,7.858992112589
1100170,"Aitern, Obermulten",47.823025974566,7.854491553015
1100171,"Aitern, Multen",47.821469825835,7.850853376114
1100172,"Aitern, Holzinshaus",47.809115486481,7.881467961001
1100173,"Aitern, Rössle",47.802677759266,7.895885921313
1100174,"Aitern, Am Schadenrain",47.801386497671,7.899389350922
1100175,"Schopfheim, Dreistern",47.644749545247,7.816411968116
1100176,"Wiechs (LÖ), Post",47.635616009523,7.812881589049
