stop_id_a,stop_id_b,distance,duration
8591976,8593795,385.62146058620584,275.4439004187185
8591976,8504010:0:2,80.79927229432879,57.713765924520565
8591976,8504010:0:1,82.74725573173427,59.10518266552448
8591976,8504010,36.530884726779746,26.093489090556965
8591976,8592145,460.7141743951111,329.0815531393651
8591976,8592151,251.57088321863924,179.69348801331375
8591998,8592088,464.6865712179208,331.918979441372
8591998,8592056,399.74032701401893,285.5288050100135
8591998,8591987,224.4179101249456,160.29850723210401
8591998,8592032,402.26997432029657,287.33569594306897
8591998,8592104,476.8187629107599,340.5848306505428
8591998,8592094,272.64445752439747,194.74604108885535
8591998,8591993,482.2627640907708,344.4734029219792
8591998,8591992,271.96834551965725,194.26310394261233
8591998,8592087,447.95602308615133,319.96858791867953
8591998,8592057,53.247589291070604,38.03399235076472
